,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,PROVINCE,DIVISION,DISTRICT,SUB DIVISION,AREA (sq.km),ALL SEXES (RURAL),MALE (RURAL),FEMALE (RURAL),TRANSGENDER (RURAL),SEX RATIO (RURAL),AVG HOUSEHOLD SIZE (RURAL),POPULATION 1998 (RURAL),ANNUAL GROWTH RATE (RURAL),ALL SEXES (URBAN),MALE (URBAN),FEMALE (URBAN),TRANSGENDER (URBAN),SEX RATIO (URBAN),AVG HOUSEHOLD SIZE (URBAN),POPULATION 1998 (URBAN),ANNUAL GROWTH RATE (URBAN)
306,306,306,306,306,BALOCHISTAN,Makran Division,LASBELA DISTRICT,LIARI TEHSIL,2010.0,11730,5990,5740,0,104.36,4.74,7846,2.14,0,0,0,0,0.0,0.0,0,0.0
307,307,307,307,307,BALOCHISTAN,Makran Division,LASBELA DISTRICT,SONMIANI/WINDER TEHSIL,2616.0,34504,17867,16637,0,107.39,5.74,20230,2.84,29515,15353,14160,2,108.43,6.63,11569,5.04
308,308,308,308,308,BALOCHISTAN,Makran Division,LASBELA DISTRICT,UTHAL TEHSIL,1756.0,42867,22196,20671,0,107.38,5.35,26405,2.58,29423,15792,13630,1,115.86,6.92,13319,4.25
309,309,309,309,309,BALOCHISTAN,Kalat Division,MASTUNG DISTRICT,DASHT TEHSIL,1047.0,64765,34040,30722,3,110.8,6.34,24570,5.22,0,0,0,0,0.0,0.0,0,0.0
310,310,310,310,310,BALOCHISTAN,Kalat Division,MASTUNG DISTRICT,KHAD KOCHA SUB-TEHSIL,640.0,38860,20265,18595,0,108.98,6.54,19262,3.76,0,0,0,0,0.0,0.0,0,0.0
311,311,311,311,311,BALOCHISTAN,Kalat Division,MASTUNG DISTRICT,KIRDGAP SUB-TEHSIL,929.0,28624,14682,13942,0,105.31,6.4,24214,0.88,0,0,0,0,0.0,0.0,0,0.0
312,312,312,312,312,BALOCHISTAN,Kalat Division,MASTUNG DISTRICT,MASTUNG TEHSIL,692.0,98430,50667,47763,0,106.08,7.44,57862,2.83,34997,17850,17147,0,104.1,7.0,24131,1.97
313,313,313,313,313,BALOCHISTAN,Makran Division,WASHUK DISTRICT,BESIMA SUB-TEHSIL,6014.0,40266,21513,18753,0,114.72,6.66,16740,4.72,0,0,0,0,0.0,0.0,0,0.0
314,314,314,314,314,BALOCHISTAN,Makran Division,WASHUK DISTRICT,MASHKHEL SUB-TEHSIL,11663.0,38634,20219,18414,1,109.8,4.97,29844,1.37,0,0,0,0,0.0,0.0,0,0.0
315,315,315,315,315,BALOCHISTAN,Makran Division,WASHUK DISTRICT,NAG SUB-TEHSIL,4338.0,34477,17743,16734,0,106.03,5.43,19956,2.91,0,0,0,0,0.0,0.0,0,0.0
316,316,316,316,316,BALOCHISTAN,Makran Division,WASHUK DISTRICT,SHAHGORI SUB-TEHSIL,3584.0,27548,14332,13216,0,108.44,5.19,19641,1.79,0,0,0,0,0.0,0.0,0,0.0
317,317,317,317,317,BALOCHISTAN,Makran Division,WASHUK DISTRICT,WASHUK SUB-TEHSIL,7494.0,12952,6627,6325,0,104.77,6.81,23828,3.15,21835,11407,10428,0,109.39,5.45,0,0.0
318,318,318,318,318,BALOCHISTAN,Makran Division,GWADAR DISTRICT,GWADAR TEHSIL,2590.0,47494,24823,22670,1,109.5,5.93,27593,2.89,90201,49901,40293,7,123.85,6.86,45021,3.72
319,319,319,319,319,BALOCHISTAN,Makran Division,GWADAR DISTRICT,JIWANI TEHSIL,454.0,8423,4340,4083,0,106.29,5.75,5716,2.06,18268,9511,8753,4,108.66,6.1,14072,1.38
320,320,320,320,320,BALOCHISTAN,Makran Division,GWADAR DISTRICT,ORMARA TEHSIL,2796.0,7881,4150,3731,0,111.23,5.24,7327,0.38,17753,10001,7752,0,129.01,5.4,11521,2.3
321,321,321,321,321,BALOCHISTAN,Makran Division,GWADAR DISTRICT,PASNI TEHSIL,4822.0,26790,14155,12634,1,112.04,6.02,27364,0.11,34557,18404,16149,4,113.96,8.15,29538,0.83
322,322,322,322,322,BALOCHISTAN,Makran Division,GWADAR DISTRICT,SUNTSER SUB-TEHSIL,1975.0,10886,5831,5055,0,115.35,5.31,17346,2.42,0,0,0,0,0.0,0.0,0,0.0
323,323,323,323,323,BALOCHISTAN,Makran Division,KECH DISTRICT,BALNIGORE SUB-TEHSIL,1238.0,44595,23222,21373,0,108.65,6.19,19560,4.42,0,0,0,0,0.0,0.0,0,0.0
324,324,324,324,324,BALOCHISTAN,Makran Division,KECH DISTRICT,BULAIDA SUB-TEHSIL,1997.0,37302,20624,16673,5,123.7,7.47,35251,0.3,39846,21248,18592,6,114.29,6.84,0,0.0
325,325,325,325,325,BALOCHISTAN,Makran Division,KECH DISTRICT,DASHT SUB-TEHSIL,2486.0,76470,41008,35459,3,115.65,6.86,39061,3.59,0,0,0,0,0.0,0.0,0,0.0
326,326,326,326,326,BALOCHISTAN,Makran Division,KECH DISTRICT,HOSHAB SUB-TEHSIL,2213.0,52947,30389,22549,9,134.77,6.55,37819,1.78,0,0,0,0,0.0,0.0,0,0.0
327,327,327,327,327,BALOCHISTAN,Makran Division,KECH DISTRICT,KECH (TURBAT) TEHSIL,9742.0,202777,110066,92685,26,118.75,6.12,88539,4.45,213831,118713,95086,32,124.85,6.14,68603,6.15
328,328,328,328,328,BALOCHISTAN,Makran Division,KECH DISTRICT,MAND SUB-TEHSIL,1456.0,50995,27158,23835,2,113.94,6.0,35281,1.95,0,0,0,0,0.0,0.0,0,0.0
329,329,329,329,329,BALOCHISTAN,Makran Division,KECH DISTRICT,TUMP SUB-TEHSIL,1945.0,97665,53822,43829,14,122.8,7.83,51234,3.45,48343,25590,22751,2,112.48,7.77,0,0.0
330,330,330,330,330,BALOCHISTAN,Makran Division,KECH DISTRICT,ZAMORAN SUB-TEHSIL,1462.0,42411,21038,21370,3,98.45,7.7,37856,0.6,0,0,0,0,0.0,0.0,0,0.0
331,331,331,331,331,BALOCHISTAN,Makran Division,PANJGUR DISTRICT,GICHK SUB-TEHSIL,8387.0,16646,8967,7676,3,116.82,8.37,22568,1.59,0,0,0,0,0.0,0.0,0,0.0
332,332,332,332,332,BALOCHISTAN,Makran Division,PANJGUR DISTRICT,GOWARGO TEHSIL,1471.0,16329,8424,7905,0,106.57,5.7,24377,2.08,0,0,0,0,0.0,0.0,0,0.0
333,333,333,333,333,BALOCHISTAN,Makran Division,PANJGUR DISTRICT,PANJGUR TEHSIL,3655.0,178752,93460,85279,13,109.59,7.54,146971,1.03,80411,42867,37541,3,114.19,7.07,21297,7.23
334,334,334,334,334,BALOCHISTAN,Makran Division,PANJGUR DISTRICT,PAROME TEHSIL,3378.0,23215,12661,10551,3,120.0,8.49,18838,1.1,0,0,0,0,0.0,0.0,0,0.0
335,335,335,335,335,BALOCHISTAN,Naseerabad Division,JAFFARABAD DISTRICT,GANDHAKA TEHSIL,554.0,74881,38209,36650,22,104.25,5.93,52767,1.86,0,0,0,0,0.0,0.0,0,0.0
336,336,336,336,336,BALOCHISTAN,Naseerabad Division,JAFFARABAD DISTRICT,JHAT PAT TEHSIL,690.0,172149,88378,83749,22,105.53,6.37,92689,3.31,80958,41622,39328,8,105.83,6.75,38371,4.0
337,337,337,337,337,BALOCHISTAN,Naseerabad Division,JAFFARABAD DISTRICT,USTA MUHAMMAD TEHSIL,399.0,109231,55791,53439,1,104.4,6.65,68517,2.48,76753,38872,37881,0,102.62,6.69,38946,3.63
338,338,338,338,338,BALOCHISTAN,Naseerabad Division,JHAL MAGSI DISTRICT,GANDAWA TEHSIL,1344.0,43365,22324,21041,0,106.1,6.05,26694,2.58,7815,3958,3856,1,102.65,6.26,8097,0.19
339,339,339,339,339,BALOCHISTAN,Naseerabad Division,JHAL MAGSI DISTRICT,JHAL MAGSI TEHSIL,1679.0,88279,45604,42675,0,106.86,5.86,63588,1.74,0,0,0,0,0.0,0.0,0,0.0
340,340,340,340,340,BALOCHISTAN,Naseerabad Division,JHAL MAGSI DISTRICT,MIRPUR SUB-TEHSIL,592.0,9441,4840,4601,0,105.19,6.21,11562,1.06,0,0,0,0,0.0,0.0,0,0.0
341,341,341,341,341,BALOCHISTAN,Naseerabad Division,KACHHI DISTRICT,BALANARI SUB-TEHSIL,402.0,43341,22595,20746,0,108.9,6.13,39597,0.48,0,0,0,0,0.0,0.0,0,0.0
342,342,342,342,342,BALOCHISTAN,Naseerabad Division,KACHHI DISTRICT,BHAG TEHSIL,1308.0,56859,29740,27115,4,109.7,6.57,43842,1.38,16600,8529,8068,3,105.7,6.53,12181,1.64
343,343,343,343,343,BALOCHISTAN,Naseerabad Division,KACHHI DISTRICT,DHADAR TEHSIL,976.0,27149,14145,13004,0,108.8,7.02,32663,0.97,15240,7938,7302,0,108.7,8.1,12818,0.91
344,344,344,344,344,BALOCHISTAN,Naseerabad Division,KACHHI DISTRICT,KHATTAN SUB-TEHSIL,277.0,14213,7411,6802,0,109.0,8.05,7202,3.64,0,0,0,0,0.0,0.0,0,0.0
345,345,345,345,345,BALOCHISTAN,Naseerabad Division,KACHHI DISTRICT,MACH SUB-TEHSIL,708.0,20489,10719,9770,0,109.7,7.07,15619,1.44,19140,10363,8777,0,118.1,7.6,14488,1.47
346,346,346,346,346,BALOCHISTAN,Naseerabad Division,KACHHI DISTRICT,SANNI SUB-TEHSIL,2011.0,96901,52851,44049,1,120.0,9.4,77070,1.21,0,0,0,0,0.0,0.0,0,0.0
347,347,347,347,347,BALOCHISTAN,Naseerabad Division,NASIRABAD DISTRICT,BABA KOT TEHSIL,967.0,49480,25844,23636,0,109.34,6.69,19531,5.0,0,0,0,0,0.0,0.0,0,0.0
348,348,348,348,348,BALOCHISTAN,Naseerabad Division,NASIRABAD DISTRICT,CHATTAR SUB-TEHSIL,961.0,76536,39811,36725,0,108.4,7.91,50446,2.21,0,0,0,0,0.0,0.0,0,0.0
349,349,349,349,349,BALOCHISTAN,Naseerabad Division,NASIRABAD DISTRICT,DERA MURAD JAMALI TEHSIL,776.0,134459,69042,65417,0,105.54,7.26,65676,3.84,96316,49161,47155,0,104.25,7.42,38431,4.95
350,350,350,350,350,BALOCHISTAN,Naseerabad Division,NASIRABAD DISTRICT,TAMBOO TEHSIL,683.0,131056,67706,63349,1,106.88,7.2,71810,3.21,0,0,0,0,0.0,0.0,0,0.0
351,351,351,351,351,BALOCHISTAN,Naseerabad Division,SOHBATPUR DISTRICT,FARIDABAD TEHSIL,137.0,58204,29719,28484,1,104.34,6.69,33400,2.96,0,0,0,0,0.0,0.0,0,0.0
352,352,352,352,352,BALOCHISTAN,Naseerabad Division,SOHBATPUR DISTRICT,SANHRI TEHSIL,331.0,88788,45781,43005,2,106.46,6.39,66681,1.52,0,0,0,0,0.0,0.0,0,0.0
353,353,353,353,353,BALOCHISTAN,Naseerabad Division,SOHBATPUR DISTRICT,SOHBATPUR TEHSIL,334.0,40567,20803,19757,7,105.29,6.93,33240,1.05,12867,6664,6203,0,107.43,5.87,8206,2.39
354,354,354,354,354,BALOCHISTAN,Quetta Division,CHAGAI DISTRICT,CHAGAI SUB-TEHSIL,3975.0,58256,30396,27859,1,109.11,7.18,22511,5.12,0,0,0,0,0.0,0.0,0,0.0
355,355,355,355,355,BALOCHISTAN,Quetta Division,CHAGAI DISTRICT,DALBANDIN TEHSIL,15363.0,111203,57650,53548,5,107.66,6.5,48380,4.47,16265,8299,7966,0,104.18,8.19,11948,1.63
356,356,356,356,356,BALOCHISTAN,Quetta Division,CHAGAI DISTRICT,NOKUNDI SUB-TEHSIL,16092.0,22283,11851,10432,0,113.6,6.42,14029,2.46,0,0,0,0,0.0,0.0,0,0.0
357,357,357,357,357,BALOCHISTAN,Quetta Division,CHAGAI DISTRICT,TAFTAN SUB-TEHSIL,9318.0,18510,10777,7732,1,139.38,8.14,7666,4.74,0,0,0,0,0.0,0.0,0,0.0
358,358,358,358,358,BALOCHISTAN,Quetta Division,KILLA ABDULLAH DISTRICT,CHAMAN TEHSIL,1341.0,311355,164656,146699,0,112.24,8.49,95062,6.43,123206,65093,58112,1,112.01,7.78,56792,4.15
359,359,359,359,359,BALOCHISTAN,Quetta Division,KILLA ABDULLAH DISTRICT,DOBANDI SUB-TEHSIL,1604.0,61741,33936,27804,1,122.05,7.48,31050,3.68,0,0,0,0,0.0,0.0,0,0.0
360,360,360,360,360,BALOCHISTAN,Quetta Division,KILLA ABDULLAH DISTRICT,GULISTAN TEHSIL,1536.0,114984,59793,55190,1,108.34,6.98,66883,2.89,0,0,0,0,0.0,0.0,0,0.0
361,361,361,361,361,BALOCHISTAN,Quetta Division,KILLA ABDULLAH DISTRICT,KILLA ABDULLAH TEHSIL,413.0,120944,61932,59011,1,104.95,6.34,110937,0.45,26124,13889,12235,0,113.52,6.7,0,0.0
362,362,362,362,362,BALOCHISTAN,Quetta Division,NUSHKI DISTRICT,NUSHKI TEHSIL,5797.0,132551,68290,64258,3,106.27,7.78,74082,3.1,46396,24281,22115,0,109.79,8.19,23948,3.54
363,363,363,363,363,BALOCHISTAN,Quetta Division,PISHIN DISTRICT,BARSHORE SUB-TEHSIL,2474.0,103423,52620,50802,1,103.58,5.97,95132,0.44,0,0,0,0,0.0,0.0,0,0.0
364,364,364,364,364,BALOCHISTAN,Quetta Division,PISHIN DISTRICT,HURRAM ZAI SUB-TEHSIL,418.0,102700,53635,49057,8,109.33,5.58,58093,3.04,29402,14780,14622,0,101.08,5.88,0,0.0
365,365,365,365,365,BALOCHISTAN,Quetta Division,PISHIN DISTRICT,KAREZAT SUB-TEHSIL,2044.0,97469,51149,46315,5,110.44,6.15,63375,2.29,39997,20435,19539,23,104.59,5.74,0,0.0
366,366,366,366,366,BALOCHISTAN,Quetta Division,PISHIN DISTRICT,PISHIN TEHSIL,1199.0,272063,140788,131260,15,107.26,5.78,108306,4.96,35547,18426,17116,5,107.65,5.81,22955,2.32
367,367,367,367,367,BALOCHISTAN,Quetta Division,PISHIN DISTRICT,SARANAN TEHSIL,83.0,18452,9615,8836,1,108.82,6.2,28867,2.32,37850,19167,18680,3,102.61,5.29,0,0.0
368,368,368,368,368,BALOCHISTAN,Quetta Division,QUETTA DISTRICT,PANJ PAI SUB-TEHSIL,1205.0,19011,9723,9287,1,104.69,8.17,15139,1.2,0,0,0,0,0.0,0.0,0,0.0
369,369,369,369,369,BALOCHISTAN,Quetta Division,QUETTA DISTRICT,QUETTA CITY TEHSIL,779.0,723361,375710,347599,52,108.09,8.96,73759,12.74,999385,528019,471224,142,112.05,7.56,565137,3.04
370,370,370,370,370,BALOCHISTAN,Quetta Division,QUETTA DISTRICT,QUETTA SADDAR TEHSIL,1463.0,527716,277024,250608,84,110.54,7.59,120512,8.07,0,0,0,0,0.0,0.0,0,0.0
371,371,371,371,371,BALOCHISTAN,Quetta Division,DERA BUGTI DISTRICT,BAIKER SUB-TEHSIL,258.0,19497,10583,8914,0,118.72,7.18,5305,7.08,0,0,0,0,0.0,0.0,0,0.0
372,372,372,372,372,BALOCHISTAN,Quetta Division,DERA BUGTI DISTRICT,DERA BUGTI TEHSIL,927.0,20790,10932,9858,0,110.89,6.25,16908,1.09,27625,14490,13135,0,110.32,6.79,15495,3.08
373,373,373,373,373,BALOCHISTAN,Quetta Division,DERA BUGTI DISTRICT,LOTI TEHSIL,803.0,18058,9963,8095,0,123.08,6.98,8491,4.04,0,0,0,0,0.0,0.0,0,0.0
374,374,374,374,374,BALOCHISTAN,Quetta Division,DERA BUGTI DISTRICT,MALAM SUB-TEHSIL,957.0,27265,13216,14049,0,94.07,7.25,19504,1.78,0,0,0,0,0.0,0.0,0,0.0
375,375,375,375,375,BALOCHISTAN,Quetta Division,DERA BUGTI DISTRICT,PHELAWAGH TEHSIL,205.0,28054,13931,14123,0,98.64,7.16,11760,4.67,0,0,0,0,0.0,0.0,0,0.0
376,376,376,376,376,BALOCHISTAN,Quetta Division,DERA BUGTI DISTRICT,PIR KOH SUB-TEHSIL,1619.0,40629,21937,18692,0,117.36,5.74,27448,2.08,0,0,0,0,0.0,0.0,0,0.0
377,377,377,377,377,BALOCHISTAN,Quetta Division,DERA BUGTI DISTRICT,SANGSILLAH SUB-TEHSIL,1533.0,10217,5435,4781,1,113.68,6.69,13700,1.53,0,0,0,0,0.0,0.0,0,0.0
378,378,378,378,378,BALOCHISTAN,Quetta Division,DERA BUGTI DISTRICT,SUI TEHSIL,3858.0,48235,27035,21200,0,127.52,6.32,62699,1.37,72740,37534,35206,0,106.61,6.94,0,0.0
379,379,379,379,379,BALOCHISTAN,Quetta Division,HARNAI DISTRICT,HARNAI TEHSIL,259.0,50753,26754,23987,12,111.54,5.62,42123,0.98,13303,6950,6349,4,109.47,6.02,9359,1.86
380,380,380,380,380,BALOCHISTAN,Quetta Division,HARNAI DISTRICT,KHOAST SUB-TEHSIL,1619.0,12279,6407,5872,0,109.11,5.78,9908,1.13,0,0,0,0,0.0,0.0,0,0.0
381,381,381,381,381,BALOCHISTAN,Quetta Division,HARNAI DISTRICT,SHAHRIG TEHSIL,614.0,9458,4962,4495,1,110.39,5.08,15262,2.48,11259,6891,4366,2,157.83,5.35,0,0.0
382,382,382,382,382,BALOCHISTAN,Quetta Division,KOHLU DISTRICT,GRISANI SUB-TEHSIL,174.0,17027,9359,7668,0,122.05,7.72,4057,7.83,0,0,0,0,0.0,0.0,0,0.0
383,383,383,383,383,BALOCHISTAN,Quetta Division,KOHLU DISTRICT,KAHAN TEHSIL,3754.0,73833,36485,37348,0,97.69,11.06,26765,5.48,0,0,0,0,0.0,0.0,0,0.0
384,384,384,384,384,BALOCHISTAN,Quetta Division,KOHLU DISTRICT,KOHLU TEHSIL,231.0,27709,14623,13086,0,111.75,5.97,17037,2.59,17443,9001,8442,0,106.62,7.87,9665,3.15
385,385,385,385,385,BALOCHISTAN,Quetta Division,KOHLU DISTRICT,MAWAND TEHSIL,2915.0,41516,22480,19036,0,118.09,6.37,24056,2.91,0,0,0,0,0.0,0.0,0,0.0
386,386,386,386,386,BALOCHISTAN,Quetta Division,SIBI DISTRICT,KOT MANDAI SUB-TEHSIL,1977.0,7583,4032,3551,0,113.55,6.02,8057,0.32,0,0,0,0,0.0,0.0,0,0.0
387,387,387,387,387,BALOCHISTAN,Quetta Division,SIBI DISTRICT,LEHRI TEHSIL,1817.0,44490,23211,21278,1,109.08,5.91,32576,1.65,0,0,0,0,0.0,0.0,0,0.0
388,388,388,388,388,BALOCHISTAN,Quetta Division,SIBI DISTRICT,SANGAN SUB-TEHSIL,1378.0,2665,1441,1223,1,117.83,8.2,3024,0.66,0,0,0,0,0.0,0.0,0,0.0
389,389,389,389,389,BALOCHISTAN,Quetta Division,SIBI DISTRICT,SIBI TEHSIL,1949.0,60339,32359,27977,3,115.66,6.06,44198,1.65,64674,33680,30980,14,108.72,7.19,48467,1.53
390,390,390,390,390,BALOCHISTAN,Quetta Division,ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,1812.0,92497,48070,44413,14,108.23,5.88,47408,3.57,0,0,0,0,0.0,0.0,0,0.0
391,391,391,391,391,BALOCHISTAN,Quetta Division,ZIARAT DISTRICT,ZIARAT TEHSIL,1489.0,64206,32405,31793,8,101.92,5.09,32704,3.61,3392,1686,1706,0,98.83,4.91,636,9.19
392,392,392,392,392,BALOCHISTAN,Zhob Division,BARKHAN DISTRICT,BARKHAN TEHSIL,3514.0,158824,83576,75237,11,111.08,6.49,95875,2.69,12201,6335,5863,3,108.05,7.4,7670,2.47
393,393,393,393,393,BALOCHISTAN,Zhob Division,KILLA SAIFULLAH DISTRICT,BADINI SUB-TEHSIL,0.0,15345,8720,6625,0,131.62,6.89,6583,4.55,0,0,0,0,0.0,0.0,0,0.0
394,394,394,394,394,BALOCHISTAN,Zhob Division,KILLA SAIFULLAH DISTRICT,KAN MEHTARZAI SUB-TEHSIL,0.0,33242,17462,15780,0,110.66,6.13,24168,1.69,0,0,0,0,0.0,0.0,0,0.0
395,395,395,395,395,BALOCHISTAN,Zhob Division,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH TEHSIL,4386.0,97481,51840,45636,5,113.59,6.69,55343,3.02,34865,18341,16524,0,111.0,6.64,8129,7.95
396,396,396,396,396,BALOCHISTAN,Zhob Division,KILLA SAIFULLAH DISTRICT,LOIBAND TEHSIL,0.0,27962,14875,13087,0,113.66,6.68,25791,0.43,0,0,0,0,0.0,0.0,0,0.0
397,397,397,397,397,BALOCHISTAN,Zhob Division,KILLA SAIFULLAH DISTRICT,MUSLIM BAGH TEHSIL,0.0,50283,26295,23988,0,109.62,6.24,27700,3.18,28428,14852,13576,0,109.4,6.16,17170,2.68
398,398,398,398,398,BALOCHISTAN,Zhob Division,KILLA SAIFULLAH DISTRICT,SHINKI SUB-TEHSIL,2445.0,55326,29421,25905,0,113.57,6.15,28669,3.51,0,0,0,0,0.0,0.0,0,0.0
399,399,399,399,399,BALOCHISTAN,Zhob Division,LORALAI DISTRICT,DUKI TEHSIL,4233.0,142935,76379,66552,4,114.77,6.83,110867,1.34,10042,5639,4403,0,128.07,7.27,5109,3.61
400,400,400,400,400,BALOCHISTAN,Zhob Division,LORALAI DISTRICT,LORALAI\BORI TEHSIL,2203.0,148730,78186,70540,4,110.84,7.34,72551,3.84,54849,30677,24170,2,126.92,6.85,29875,3.24
401,401,401,401,401,BALOCHISTAN,Zhob Division,LORALAI DISTRICT,MEKHTAR SUB-TEHSIL,1582.0,40867,21621,19240,6,112.38,6.62,31745,1.34,0,0,0,0,0.0,0.0,0,0.0
402,402,402,402,402,BALOCHISTAN,Zhob Division,MUSAKHEL DISTRICT,DRUG TEHSIL,848.0,37599,20168,17429,2,115.72,6.32,28638,1.44,0,0,0,0,0.0,0.0,0,0.0
403,403,403,403,403,BALOCHISTAN,Zhob Division,MUSAKHEL DISTRICT,KINGRI TEHSIL,3683.0,31339,16924,14413,2,117.42,7.21,24822,1.23,0,0,0,0,0.0,0.0,0,0.0
404,404,404,404,404,BALOCHISTAN,Zhob Division,MUSAKHEL DISTRICT,MUSAKHEL TEHSIL,1197.0,84170,46200,37963,7,121.7,6.87,69007,1.05,14135,7441,6693,1,111.18,6.71,11589,1.05
405,405,405,405,405,BALOCHISTAN,Zhob Division,SHERANI DISTRICT,SHERANI TEHSIL,4310.0,152952,84390,68561,1,123.09,7.3,81684,3.35,0,0,0,0,0.0,0.0,0,0.0
406,406,406,406,406,BALOCHISTAN,Zhob Division,ZHOB DISTRICT,ASHWAT SUB-TEHSIL,901.0,20768,11575,9193,0,125.91,8.15,13247,2.39,0,0,0,0,0.0,0.0,0,0.0
407,407,407,407,407,BALOCHISTAN,Zhob Division,ZHOB DISTRICT,KASHATOO SUB-TEHSIL,1590.0,5184,2645,2539,0,104.17,6.83,5165,0.02,0,0,0,0,0.0,0.0,0,0.0
408,408,408,408,408,BALOCHISTAN,Zhob Division,ZHOB DISTRICT,QAMAR DIN KAREZ TEHSIL,1286.0,13831,7486,6345,0,117.98,5.73,5855,4.62,0,0,0,0,0.0,0.0,0,0.0
409,409,409,409,409,BALOCHISTAN,Zhob Division,ZHOB DISTRICT,SAMBAZA SUB-TEHSIL,2888.0,17465,9848,7617,0,129.29,7.09,15198,0.73,0,0,0,0,0.0,0.0,0,0.0
410,410,410,410,410,BALOCHISTAN,Zhob Division,ZHOB DISTRICT,ZHOB TEHSIL,9322.0,206942,111210,95731,1,116.17,6.58,110150,3.37,46164,25475,20689,0,123.13,6.4,43843,0.27
411,411,411,411,411,KPK,BANNU DIVISION,BANNU DISTRICT,BANNU TEHSIL,802.0,908155,457808,450324,23,101.66,9.16,525281,2.92,49948,27628,22319,1,123.79,7.42,47676,0.24
412,412,412,412,412,KPK,BANNU DIVISION,BANNU DISTRICT,DOMEL TEHSIL,425.0,208968,107189,101779,0,105.32,10.98,102710,3.8,0,0,0,0,0.0,0.0,0,0.0
413,413,413,413,413,KPK,BANNU DIVISION,LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,2541.0,519601,261879,257719,3,101.61,8.47,309467,2.76,59273,30735,28538,0,107.7,7.24,30467,3.56
414,414,414,414,414,KPK,BANNU DIVISION,LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,623.0,266891,134073,132817,1,100.95,9.65,133680,3.7,29979,15030,14949,0,100.54,9.22,16411,3.22
415,415,415,415,415,KPK,DERA ISMAIL KHAN DIVISION,DERA ISMAIL KHAN DISTRICT,DARABAN TEHSIL,1540.0,124318,64533,59784,1,107.94,8.22,73658,2.79,0,0,0,0,0.0,0.0,0,0.0
